Date UTC,co (µg/m³),no2 (µg/m³),pm10 (µg/m³),pm25 (µg/m³),temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-12-31 17:00:00,1935.0,75.2,124.0,85.9,,,,,,,,,,,
2024-12-31 21:00:00,1520.0,58.599999999999994,128.0,88.6,,,,,,,,,,,
2024-12-31 23:00:00,1635.0,56.449999999999996,158.5,109.4,,,,,,,,,,,
2025-01-01 00:00:00,1560.0,59.95,162.5,112.2,12.0,11.1,94.0,0.0,,0.0,0.0,,1019.0,,5.0
2025-01-01 01:00:00,1295.0,62.449999999999996,147.5,106.6,14.0,13.0,94.0,0.0,,100.0,5.4,,1020.0,,5.0
2025-01-01 02:00:00,1245.0,57.5,129.0,105.1,17.0,12.9,77.0,0.0,,80.0,5.4,,1020.0,,5.0
2025-01-01 03:00:00,1295.0,50.5,114.0,91.75,19.0,12.0,64.0,0.0,,80.0,7.6,,1020.0,,5.0
2025-01-01 04:00:00,1145.0,37.55,88.35,72.05,21.0,12.9,60.0,0.0,,90.0,7.6,,1019.0,,5.0
2025-01-01 05:00:00,1100.0,43.150000000000006,75.75,61.95,23.0,11.1,47.0,0.0,,337.0,7.6,,1017.0,,5.0
2025-01-01 06:00:00,1188.5,48.55,78.19999999999999,64.05,23.0,11.1,47.0,0.0,,277.0,5.4,,1016.0,,2.0
2025-01-01 07:00:00,993.0,44.95,66.25,54.1,25.0,11.9,44.0,0.0,,140.0,3.6,,1015.0,,2.0
2025-01-01 08:00:00,1215.0,54.25,57.3,46.55,24.0,12.0,47.0,0.0,,322.0,5.4,,1014.0,,2.0
2025-01-01 09:00:00,1330.0,65.85,51.2,40.75,24.0,11.0,44.0,0.0,,200.0,5.4,,1014.0,,2.0
2025-01-01 10:00:00,2295.0,89.35,69.55,55.95,23.0,12.0,50.0,0.0,,180.0,5.4,,1014.0,,5.0
2025-01-01 11:00:00,3250.0,132.05,100.3,80.05000000000001,22.0,12.0,53.0,0.0,,170.0,5.4,,1015.0,,1.0
2025-01-01 12:00:00,1540.0,77.15,130.0,101.8,19.0,13.0,68.0,0.0,,342.0,3.6,,1015.0,,5.0
2025-01-01 13:00:00,1269.5,70.05,127.0,93.75,18.0,13.1,73.0,0.0,,150.0,3.6,,1016.0,,5.0
2025-01-01 14:00:00,1093.5,65.8,140.5,100.5,19.0,14.1,73.0,0.0,,140.0,13.0,,1017.0,,5.0
2025-01-01 15:00:00,1045.0,55.15,143.5,99.45,18.0,14.1,78.0,0.0,,120.0,11.2,,1017.0,,5.0
2025-01-01 16:00:00,841.5,40.85,138.5,96.1,17.0,14.1,83.0,0.0,,100.0,7.6,,1017.0,,5.0
2025-01-01 17:00:00,745.5,37.75,135.0,93.3,16.0,14.0,88.0,0.0,,80.0,7.6,,1017.0,,5.0
2025-01-01 18:00:00,773.5,62.5,123.5,85.35,16.0,14.0,88.0,0.0,,90.0,7.6,,1018.0,,5.0
2025-01-01 19:00:00,776.5,68.4,119.5,82.8,16.0,15.0,94.0,0.0,,60.0,7.6,,1018.0,,5.0
2025-01-01 20:00:00,676.5,55.150000000000006,118.5,82.30000000000001,16.0,14.0,88.0,0.0,,70.0,3.6,,1018.0,,5.0
2025-01-01 21:00:00,904.0,60.25,159.5,110.5,15.0,14.0,94.0,0.0,,100.0,5.4,,1018.0,,5.0
2025-01-01 22:00:00,1056.5,54.7,204.0,141.0,16.0,14.0,88.0,0.0,,133.0,3.6,,1018.0,,5.0
2025-01-01 23:00:00,1083.0,54.3,165.5,114.5,15.0,14.0,94.0,0.0,,0.0,0.0,,1018.0,,5.0
2025-01-02 00:00:00,1635.0,61.5,161.5,111.5,14.0,13.0,94.0,0.0,,90.0,7.6,,1019.0,,5.0
2025-01-02 01:00:00,1920.0,68.65,169.5,119.5,17.0,15.0,88.0,0.0,,70.0,7.6,,1020.0,,5.0
2025-01-02 02:00:00,1615.0,52.599999999999994,166.0,128.5,20.0,15.0,73.0,0.0,,70.0,9.4,,1021.0,,5.0
2025-01-02 03:00:00,1280.0,45.1,110.0,88.6,21.0,12.9,60.0,0.0,,40.0,9.4,,1021.0,,5.0
