Date UTC,co (µg/m³),no2 (µg/m³),o3 (µg/m³),pm10 (µg/m³),pm25 (µg/m³),so2 (µg/m³),temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-12-31 17:00:00,2180.0,113.0,,116.0,81.2,,,,,,,,,,,,
2024-12-31 21:00:00,1820.0,89.6,,120.0,84.0,,,,,,,,,,,,
2024-12-31 23:00:00,1840.0,84.6,,140.0,97.8,,,,,,,,,,,,
2025-01-01 00:00:00,1720.0,89.3,,139.0,97.4,,12.0,11.1,94.0,0.0,,0.0,0.0,,1019.0,,5.0
2025-01-01 01:00:00,1390.0,92.6,,129.0,98.2,,14.0,13.0,94.0,0.0,,100.0,5.4,,1020.0,,5.0
2025-01-01 02:00:00,1390.0,87.6,,120.0,97.2,,17.0,12.9,77.0,0.0,,80.0,5.4,,1020.0,,5.0
2025-01-01 03:00:00,1430.0,76.3,,105.0,84.5,,19.0,12.0,64.0,0.0,,80.0,7.6,,1020.0,,5.0
2025-01-01 04:00:00,1230.0,56.8,,84.0,68.5,,21.0,12.9,60.0,0.0,,90.0,7.6,,1019.0,,5.0
2025-01-01 05:00:00,1160.0,65.9,,73.7,60.6,,23.0,11.1,47.0,0.0,,337.0,7.6,,1017.0,,5.0
2025-01-01 06:00:00,1460.0,77.6,,77.3,63.5,,23.0,11.1,47.0,0.0,,277.0,5.4,,1016.0,,2.0
2025-01-01 07:00:00,1150.0,71.7,,65.1,53.5,,25.0,11.9,44.0,0.0,,140.0,3.6,,1015.0,,2.0
2025-01-01 08:00:00,1360.0,83.5,,55.0,45.3,,24.0,12.0,47.0,0.0,,322.0,5.4,,1014.0,,2.0
2025-01-01 09:00:00,1510.0,96.0,,50.2,41.4,,24.0,11.0,44.0,0.0,,200.0,5.4,,1014.0,,2.0
2025-01-01 10:00:00,2190.0,111.0,,66.5,54.5,,23.0,12.0,50.0,0.0,,180.0,5.4,,1014.0,,5.0
2025-01-01 11:00:00,3510.0,175.0,,101.0,80.2,,22.0,12.0,53.0,0.0,,170.0,5.4,,1015.0,,1.0
2025-01-01 12:00:00,1780.0,118.0,,125.0,98.6,,19.0,13.0,68.0,0.0,,342.0,3.6,,1015.0,,5.0
2025-01-01 13:00:00,1580.0,115.0,,129.0,102.0,,18.0,13.1,73.0,0.0,,150.0,3.6,,1016.0,,5.0
2025-01-01 14:00:00,1310.0,108.0,,135.0,101.0,,19.0,14.1,73.0,0.0,,140.0,13.0,,1017.0,,5.0
2025-01-01 15:00:00,1280.0,91.0,,134.0,93.9,,18.0,14.1,78.0,0.0,,120.0,11.2,,1017.0,,5.0
2025-01-01 16:00:00,989.0,67.7,,126.0,88.2,,17.0,14.1,83.0,0.0,,100.0,7.6,,1017.0,,5.0
2025-01-01 17:00:00,883.0,62.6,,122.0,85.6,,16.0,14.0,88.0,0.0,,80.0,7.6,,1017.0,,5.0
2025-01-01 18:00:00,970.0,107.0,,114.0,79.7,,16.0,14.0,88.0,0.0,,90.0,7.6,,1018.0,,5.0
2025-01-01 19:00:00,919.0,105.0,,108.0,75.8,,16.0,15.0,94.0,0.0,,60.0,7.6,,1018.0,,5.0
2025-01-01 20:00:00,827.0,91.4,,112.0,78.7,,16.0,14.0,88.0,0.0,,70.0,3.6,,1018.0,,5.0
2025-01-01 21:00:00,1080.0,87.6,,164.0,115.0,,15.0,14.0,94.0,0.0,,100.0,5.4,,1018.0,,5.0
2025-01-01 22:00:00,1170.0,78.8,,180.0,126.0,,16.0,14.0,88.0,0.0,,133.0,3.6,,1018.0,,5.0
2025-01-01 23:00:00,1200.0,78.0,,143.0,101.0,,15.0,14.0,94.0,0.0,,0.0,0.0,,1018.0,,5.0
